epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.2271,4.66221,7.83459,4.0078,0,0,0,0,4.70876,6.03663,4.13063,0.000408654,0.000408654,0.000408654
2,221.406,3.89733,5.47279,3.32662,0,0,0,0,3.91135,4.26275,3.40115,0.00081715,0.00081715,0.00081715
3,287.393,3.57662,4.69622,3.00052,0.00087,0.16926,0.00109,0.0002,3.36961,3.75815,2.92318,0.0012174,0.0012174,0.0012174
4,410.41,3.42488,4.33869,2.78074,0.00066,0.18853,0.00096,0.00022,3.43574,3.91455,2.80843,0.00121287,0.00121287,0.00121287
5,487.276,3.26568,4.14065,2.61571,0.00124,0.25152,0.00188,0.00047,3.30571,3.9146,2.57257,0.0012005,0.0012005,0.0012005
6,582.995,3.16846,4.02211,2.47203,0.00208,0.28258,0.00197,0.00075,3.23915,3.89042,2.47665,0.00118812,0.00118812,0.00118812
7,637.97,3.05597,3.83676,2.4329,0.77219,0.01429,0.00717,0.002,3.1125,3.8536,2.49341,0.00117575,0.00117575,0.00117575
8,702.843,3.01339,3.6887,2.27666,0.00354,0.30054,0.00572,0.00194,3.24322,3.97384,2.338,0.00116337,0.00116337,0.00116337
9,815.215,2.94386,3.57437,2.25496,0.03379,0.03095,0.00811,0.00225,3.05745,3.82904,2.50874,0.001151,0.001151,0.001151
10,890.565,2.86619,3.39129,2.20143,0.0431,0.04177,0.00889,0.00199,3.31892,4.17754,2.61027,0.00113863,0.00113863,0.00113863
11,996.865,2.87318,3.35125,2.15008,0.33866,0.02619,0.01984,0.00644,3.00164,3.79803,2.30573,0.00112625,0.00112625,0.00112625
12,1081.63,2.77028,3.21513,2.09455,0.32729,0.05714,0.04996,0.014,2.92417,3.433,2.17255,0.00111388,0.00111388,0.00111388
13,1164.44,2.70843,3.05926,2.05013,0.09357,0.08214,0.03571,0.00836,2.88502,3.45938,2.19349,0.0011015,0.0011015,0.0011015
14,1319.24,2.66975,3.00145,2.01967,0.1268,0.12213,0.04645,0.01486,2.87344,3.30102,2.1928,0.00108913,0.00108913,0.00108913
15,1452.41,2.68147,2.95932,2.00682,0.10752,0.08449,0.06869,0.01666,2.87388,3.19674,2.10974,0.00107675,0.00107675,0.00107675
16,1534.5,2.61283,2.86979,1.96824,0.43019,0.07641,0.07562,0.01989,2.83566,3.39535,2.11756,0.00106437,0.00106437,0.00106437
17,1631.65,2.55037,2.77048,1.93173,0.33336,0.03792,0.03737,0.01247,2.81407,3.84776,2.2268,0.001052,0.001052,0.001052
18,1712.03,2.51185,2.70232,1.93553,0.08645,0.09524,0.06641,0.02394,2.79928,3.26848,2.14048,0.00103962,0.00103962,0.00103962
19,1828.66,2.47051,2.53214,1.87171,0.1486,0.09118,0.05254,0.01639,2.81794,3.38654,2.25455,0.00102725,0.00102725,0.00102725
20,1919.78,2.49421,2.58286,1.88888,0.10182,0.15915,0.06107,0.01958,2.82565,3.07379,2.11028,0.00101488,0.00101488,0.00101488
21,2021.34,2.46984,2.5439,1.85935,0.10998,0.04524,0.03357,0.01181,2.86332,3.64596,2.13423,0.0010025,0.0010025,0.0010025
22,2122.93,2.37625,2.44048,1.84139,0.13488,0.11131,0.08311,0.02667,2.74615,3.16464,2.18665,0.000990125,0.000990125,0.000990125
23,2250.21,2.35792,2.37248,1.79639,0.3699,0.08571,0.06469,0.01889,2.72585,3.09332,2.13642,0.00097775,0.00097775,0.00097775
24,2346.03,2.32262,2.26897,1.78801,0.14767,0.16991,0.08365,0.02324,2.75847,2.93481,2.04812,0.000965375,0.000965375,0.000965375
25,2458.2,2.33384,2.30844,1.78613,0.14782,0.10833,0.08041,0.02275,2.7972,2.83973,2.12107,0.000953,0.000953,0.000953
26,2574.78,2.28322,2.17355,1.75893,0.41817,0.11369,0.0959,0.02551,2.75727,2.9066,2.06332,0.000940625,0.000940625,0.000940625
27,2654.27,2.25409,2.1245,1.76692,0.1261,0.13939,0.0822,0.0263,2.78074,3.06442,2.18668,0.00092825,0.00092825,0.00092825
28,2740.68,2.17749,1.98165,1.68835,0.29295,0.08072,0.0969,0.02792,2.90495,2.84966,2.21206,0.000915875,0.000915875,0.000915875
29,2874.66,2.20794,2.02986,1.71416,0.25027,0.09817,0.08925,0.0261,2.82741,3.00931,2.16035,0.0009035,0.0009035,0.0009035
30,2969.36,2.18288,1.99471,1.71079,0.15875,0.1507,0.11381,0.02873,2.81904,2.95738,2.13249,0.000891125,0.000891125,0.000891125
31,3077.31,2.17416,2.00294,1.7068,0.13522,0.1396,0.09367,0.0286,2.63231,2.87425,2.01979,0.00087875,0.00087875,0.00087875
32,3165.74,2.11614,1.94255,1.66208,0.16626,0.19091,0.13078,0.044,2.76336,2.95442,2.0605,0.000866375,0.000866375,0.000866375
33,3265.88,2.08823,1.86576,1.65597,0.18818,0.152,0.10059,0.04116,2.76118,3.07982,2.095,0.000854,0.000854,0.000854
34,3344.14,2.06411,1.84947,1.63442,0.15214,0.20698,0.1037,0.0282,2.81005,2.89471,2.1641,0.000841625,0.000841625,0.000841625
35,3453.31,2.05119,1.84589,1.65903,0.2184,0.2742,0.14291,0.04216,2.72023,2.94587,2.07709,0.00082925,0.00082925,0.00082925
36,3521.9,1.98747,1.72139,1.58121,0.10696,0.13939,0.07688,0.02307,2.73627,3.04807,2.08823,0.000816875,0.000816875,0.000816875
37,3627.85,1.95498,1.68721,1.59969,0.23602,0.22284,0.14566,0.0449,2.79552,2.87974,2.12002,0.0008045,0.0008045,0.0008045
38,3707.43,1.91397,1.60943,1.53848,0.13753,0.18009,0.11084,0.0415,2.81178,2.90364,2.13635,0.000792125,0.000792125,0.000792125
39,3800.31,1.92239,1.64612,1.54374,0.16652,0.19854,0.12446,0.04765,2.65281,2.90076,2.01688,0.00077975,0.00077975,0.00077975
40,3873.68,1.92634,1.61803,1.5706,0.22154,0.2165,0.1528,0.03994,2.82898,2.86155,2.2144,0.000767375,0.000767375,0.000767375
41,3981.66,1.90156,1.59568,1.53399,0.14476,0.22979,0.14542,0.04937,2.6291,2.87741,2.00583,0.000755,0.000755,0.000755
42,4062.48,1.88782,1.54008,1.51364,0.60243,0.13723,0.17906,0.05815,2.77808,2.84899,2.12171,0.000742625,0.000742625,0.000742625
43,4160.35,1.86118,1.50961,1.50344,0.33542,0.19659,0.163,0.05788,2.71994,2.89426,2.02485,0.00073025,0.00073025,0.00073025
44,4243.44,1.83469,1.50389,1.47719,0.12128,0.14878,0.0949,0.03069,2.75871,3.04365,2.12598,0.000717875,0.000717875,0.000717875
45,4353.69,1.78261,1.43267,1.45543,0.3595,0.19527,0.18076,0.06606,2.68374,3.00389,2.0424,0.0007055,0.0007055,0.0007055
46,4503.22,1.81398,1.46619,1.46853,0.31936,0.21174,0.21001,0.08182,2.6732,2.90461,2.0171,0.000693125,0.000693125,0.000693125
47,4692.86,1.7876,1.42364,1.47454,0.12683,0.19091,0.09254,0.03447,2.71431,2.8129,2.10263,0.00068075,0.00068075,0.00068075
48,4845.09,1.74773,1.36021,1.43829,0.18959,0.21472,0.14359,0.04547,2.62322,2.8277,2.05201,0.000668375,0.000668375,0.000668375
49,5034.61,1.74375,1.37334,1.43224,0.36731,0.12689,0.14017,0.05037,2.74639,2.973,2.16865,0.000656,0.000656,0.000656
