epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.537,1.76316,1.85947,1.62023,0.28385,0.20937,0.17382,0.0536,2.64724,3.24692,2.59246,0.000301665,0.000301665,0.000301665
2,68.7628,1.84576,2.00501,1.66779,0.21102,0.19243,0.13153,0.03998,2.6059,3.13147,2.56083,0.000598679,0.000598679,0.000598679
3,98.7893,1.95274,2.13257,1.74192,0.17408,0.13605,0.11681,0.02705,2.61675,3.43316,2.51237,0.000889693,0.000889693,0.000889693
4,128.559,1.94269,2.20975,1.75916,0.27009,0.1881,0.15308,0.04827,2.53068,3.1223,2.44896,0.000882003,0.000882003,0.000882003
5,158.171,1.95617,2.19889,1.74724,0.17875,0.21107,0.12792,0.03824,2.49935,3.27002,2.31308,0.000873004,0.000873004,0.000873004
6,190.217,1.95491,2.23064,1.75453,0.23476,0.16214,0.1514,0.04926,2.57805,3.24514,2.45087,0.000864004,0.000864004,0.000864004
7,222.87,1.94423,2.19747,1.74979,0.1176,0.20695,0.10942,0.034,2.59439,3.20895,2.42447,0.000855005,0.000855005,0.000855005
8,254.45,1.95498,2.23507,1.75468,0.22253,0.14929,0.12856,0.04171,2.59232,3.28936,2.46207,0.000846006,0.000846006,0.000846006
9,287.732,1.95402,2.1897,1.75117,0.23502,0.20405,0.13089,0.04134,2.63139,3.14253,2.53623,0.000837007,0.000837007,0.000837007
10,318.486,1.90667,2.14102,1.73229,0.15887,0.24058,0.13842,0.0444,2.52707,3.32374,2.42983,0.000828008,0.000828008,0.000828008
11,349.099,1.89388,2.14876,1.70964,0.17629,0.20566,0.14844,0.04205,2.53894,3.19492,2.43955,0.000819009,0.000819009,0.000819009
12,380.601,1.90594,2.12312,1.72113,0.30923,0.17693,0.17728,0.05726,2.46518,3.1237,2.3696,0.00081001,0.00081001,0.00081001
13,410.586,1.89662,2.12007,1.69021,0.18608,0.19141,0.11876,0.03512,2.65703,3.29012,2.53357,0.000801011,0.000801011,0.000801011
14,440.973,1.92025,2.07539,1.71788,0.21261,0.18093,0.16257,0.04772,2.59237,3.07336,2.47572,0.000792012,0.000792012,0.000792012
15,471.828,1.89153,2.074,1.7037,0.15286,0.21195,0.13837,0.03594,2.66562,3.20046,2.49018,0.000783013,0.000783013,0.000783013
16,503.832,1.85568,2.00241,1.67806,0.24514,0.18443,0.15053,0.03967,2.56443,3.16646,2.51872,0.000774013,0.000774013,0.000774013
17,537.182,1.85983,2.01604,1.68565,0.15358,0.2067,0.11614,0.03936,2.55269,3.42586,2.45319,0.000765014,0.000765014,0.000765014
18,568.442,1.83735,1.99683,1.66085,0.22635,0.18181,0.14562,0.04491,2.62844,3.38008,2.58167,0.000756015,0.000756015,0.000756015
19,598.957,1.85584,2.01503,1.67165,0.20708,0.15878,0.12636,0.03581,2.65909,3.40825,2.53746,0.000747016,0.000747016,0.000747016
20,628.973,1.83027,1.94553,1.65876,0.18688,0.26024,0.16522,0.04631,2.58699,3.04835,2.53662,0.000738017,0.000738017,0.000738017
21,658.81,1.82819,1.93263,1.65473,0.25709,0.23813,0.17204,0.04802,2.64106,3.09658,2.52999,0.000729018,0.000729018,0.000729018
22,689.079,1.80138,1.84819,1.65513,0.21273,0.23778,0.14763,0.03956,2.67712,3.23603,2.6502,0.000720019,0.000720019,0.000720019
23,720.03,1.82185,1.89308,1.65447,0.27778,0.18769,0.15658,0.04723,2.61465,3.12362,2.58877,0.00071102,0.00071102,0.00071102
24,751.026,1.78811,1.86088,1.61942,0.32223,0.23338,0.1884,0.05335,2.57817,3.01583,2.55106,0.000702021,0.000702021,0.000702021
25,781.398,1.76461,1.81526,1.61257,0.29035,0.22246,0.18539,0.05318,2.57792,3.21804,2.55589,0.000693022,0.000693022,0.000693022
