epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2064,3.87325,7.55666,3.92314,5e-05,0.02199,3e-05,1e-05,3.31361,4.29812,3.3673,0.000301665,0.000301665,0.000301665
2,72.1919,3.48909,6.04895,3.08386,0.00012,0.06944,0.0005,9e-05,3.03371,4.26952,2.96902,0.000598679,0.000598679,0.000598679
3,107.795,3.27891,5.17794,2.74728,0.00013,0.04315,8e-05,2e-05,3.04618,4.44849,2.79696,0.000889693,0.000889693,0.000889693
4,140.72,3.1541,4.89281,2.61339,0.00068,0.31738,0.00114,0.0003,2.98464,3.89208,2.59212,0.000882003,0.000882003,0.000882003
5,172.24,3.05765,4.68486,2.57638,0.00064,0.20388,0.0016,0.00039,3.07627,3.94205,2.49615,0.000873004,0.000873004,0.000873004
6,204.41,2.91128,4.54619,2.48591,0.00278,0.254,0.00423,0.00107,2.93742,4.09137,2.48255,0.000864004,0.000864004,0.000864004
7,235.904,2.87707,4.48917,2.46683,0.00153,0.40531,0.00409,0.00106,2.80807,4.09705,2.53141,0.000855005,0.000855005,0.000855005
8,267.362,2.80059,4.41634,2.42137,0.00164,0.37088,0.00488,0.00142,2.75662,3.98895,2.57598,0.000846006,0.000846006,0.000846006
9,298.86,2.76023,4.30475,2.37515,0.00183,0.42365,0.00476,0.0011,2.75884,3.9695,2.48227,0.000837007,0.000837007,0.000837007
10,330.309,2.72046,4.26824,2.34571,0.00293,0.10273,0.00264,0.00088,2.90118,4.92361,2.89716,0.000828008,0.000828008,0.000828008
11,361.848,2.68447,4.17662,2.29737,0.00354,0.25476,0.00836,0.00231,2.68078,4.46614,2.56993,0.000819009,0.000819009,0.000819009
12,395.047,2.66042,4.13072,2.29225,0.00344,0.11417,0.00532,0.00113,2.72646,4.94193,2.62362,0.00081001,0.00081001,0.00081001
13,427.712,2.64348,4.10249,2.27405,0.00197,0.69321,0.01199,0.00399,2.60283,3.73134,2.36725,0.000801011,0.000801011,0.000801011
14,459.464,2.61598,4.01063,2.2458,0.0029,0.45626,0.00866,0.00233,2.59344,4.09044,2.3444,0.000792012,0.000792012,0.000792012
15,492.205,2.61234,3.93413,2.24047,0.00288,0.50649,0.01373,0.00372,2.52403,3.8658,2.35019,0.000783013,0.000783013,0.000783013
16,527.603,2.58319,3.88234,2.22643,0.37434,0.12077,0.03801,0.01453,2.48344,3.61966,2.3032,0.000774013,0.000774013,0.000774013
17,562.601,2.55621,3.82157,2.22262,0.75832,0.01086,0.03251,0.01164,2.54647,3.76454,2.38609,0.000765014,0.000765014,0.000765014
18,596.295,2.54511,3.79818,2.19716,0.53495,0.03969,0.03242,0.0102,2.52262,3.64515,2.37083,0.000756015,0.000756015,0.000756015
19,631.046,2.53442,3.78031,2.17955,0.43707,0.03397,0.03158,0.00932,2.50467,3.72088,2.31616,0.000747016,0.000747016,0.000747016
20,665.286,2.49908,3.68473,2.15628,0.61642,0.0471,0.04678,0.01484,2.49949,3.51471,2.35018,0.000738017,0.000738017,0.000738017
21,700.261,2.48745,3.63043,2.15715,0.55698,0.04479,0.05327,0.01778,2.54526,3.63095,2.39327,0.000729018,0.000729018,0.000729018
22,733.41,2.44964,3.57749,2.16044,0.6631,0.03985,0.06298,0.01605,2.54996,3.66203,2.32739,0.000720019,0.000720019,0.000720019
23,764.221,2.47643,3.56339,2.14171,0.69101,0.05155,0.05386,0.016,2.483,3.70572,2.34362,0.00071102,0.00071102,0.00071102
24,796.251,2.46115,3.47548,2.1272,0.27625,0.04479,0.0527,0.01826,2.47371,3.57362,2.35249,0.000702021,0.000702021,0.000702021
25,827.333,2.42971,3.45887,2.11252,0.28797,0.06794,0.07257,0.02507,2.48978,3.36961,2.27458,0.000693022,0.000693022,0.000693022
26,858.751,2.38265,3.37382,2.05038,0.45595,0.09728,0.07513,0.02571,2.47465,3.35392,2.30324,0.000684022,0.000684022,0.000684022
27,889.855,2.41784,3.40531,2.07205,0.08966,0.12658,0.07429,0.02201,2.46212,3.28848,2.31206,0.000675023,0.000675023,0.000675023
28,921.439,2.39044,3.30304,2.0577,0.59806,0.07841,0.08062,0.02451,2.43184,3.3329,2.26652,0.000666024,0.000666024,0.000666024
29,952.491,2.35814,3.25192,2.05492,0.28636,0.09158,0.08173,0.02748,2.39115,3.27011,2.30112,0.000657025,0.000657025,0.000657025
30,983.156,2.37621,3.2603,2.06686,0.10966,0.10642,0.08023,0.02727,2.4213,3.27533,2.25413,0.000648026,0.000648026,0.000648026
31,1014.15,2.3273,3.18868,2.02301,0.09771,0.14161,0.07636,0.02536,2.43795,3.30833,2.29817,0.000639027,0.000639027,0.000639027
32,1044.76,2.33747,3.20989,2.02967,0.29144,0.10867,0.09701,0.03135,2.41002,3.32684,2.23558,0.000630028,0.000630028,0.000630028
33,1075.58,2.30512,3.16422,2.00662,0.17134,0.12513,0.09449,0.03151,2.44271,3.39579,2.33019,0.000621029,0.000621029,0.000621029
34,1106.82,2.31892,3.13266,2.015,0.16361,0.14347,0.11069,0.03475,2.40531,3.22576,2.21875,0.00061203,0.00061203,0.00061203
35,1137.2,2.28578,3.08715,2.00673,0.14856,0.13396,0.12648,0.03857,2.42876,3.25402,2.23908,0.000603031,0.000603031,0.000603031
36,1166.85,2.2588,3.04547,1.98897,0.1567,0.15691,0.10537,0.03502,2.393,3.25726,2.2057,0.000594031,0.000594031,0.000594031
37,1196.53,2.27626,3.00853,1.98753,0.14874,0.11759,0.10252,0.03789,2.40068,3.26885,2.21034,0.000585032,0.000585032,0.000585032
38,1226.11,2.26213,2.98077,1.97022,0.135,0.14405,0.10418,0.03565,2.4525,3.21078,2.23205,0.000576033,0.000576033,0.000576033
39,1255.82,2.22952,3.01625,1.96589,0.10171,0.1091,0.08789,0.02886,2.35908,3.32108,2.24468,0.000567034,0.000567034,0.000567034
40,1285.41,2.21908,2.93886,1.9578,0.13302,0.11145,0.10015,0.03394,2.3998,3.23477,2.29771,0.000558035,0.000558035,0.000558035
41,1314.94,2.21819,2.90009,1.94525,0.14485,0.1666,0.11004,0.03979,2.41809,3.16121,2.23023,0.000549036,0.000549036,0.000549036
42,1344.64,2.20799,2.83574,1.93485,0.10001,0.17961,0.11613,0.03979,2.41767,3.0742,2.23785,0.000540037,0.000540037,0.000540037
43,1374.36,2.17402,2.82655,1.9193,0.12525,0.20051,0.12758,0.04275,2.37315,3.04593,2.22709,0.000531038,0.000531038,0.000531038
44,1403.88,2.15633,2.81012,1.93211,0.16583,0.15556,0.11238,0.03732,2.4321,3.15905,2.31016,0.000522039,0.000522039,0.000522039
45,1433.38,2.18616,2.79619,1.92262,0.15283,0.15493,0.11344,0.03646,2.45442,3.11399,2.26271,0.00051304,0.00051304,0.00051304
46,1464.06,2.12729,2.70692,1.88322,0.12564,0.18498,0.11599,0.03791,2.41678,3.09449,2.27396,0.00050404,0.00050404,0.00050404
47,1494.13,2.13978,2.69382,1.8822,0.17226,0.17626,0.13482,0.04115,2.4449,3.10744,2.26231,0.000495041,0.000495041,0.000495041
48,1524.61,2.12433,2.69636,1.89299,0.17811,0.19117,0.14304,0.04412,2.39146,2.98648,2.2671,0.000486042,0.000486042,0.000486042
49,1554.6,2.1521,2.68921,1.88671,0.16184,0.16985,0.13712,0.04782,2.38816,3.1672,2.26559,0.000477043,0.000477043,0.000477043
50,1584.32,2.09902,2.64383,1.85931,0.17374,0.17742,0.13501,0.04201,2.43861,3.11065,2.28038,0.000468044,0.000468044,0.000468044
51,1613.61,2.08069,2.58885,1.84951,0.19055,0.1884,0.12432,0.0403,2.38147,3.097,2.23898,0.000459045,0.000459045,0.000459045
52,1643.3,2.0899,2.63959,1.86776,0.15715,0.21869,0.12482,0.04205,2.38103,3.0574,2.23457,0.000450046,0.000450046,0.000450046
53,1675.53,2.09613,2.60789,1.86771,0.14218,0.20287,0.12916,0.04421,2.36704,3.00404,2.28308,0.000441047,0.000441047,0.000441047
54,1708.58,2.06873,2.58377,1.84655,0.20165,0.15453,0.12461,0.04221,2.39378,2.95694,2.25217,0.000432048,0.000432048,0.000432048
55,1740.08,2.05077,2.49167,1.83685,0.19316,0.22288,0.15955,0.0462,2.40713,2.98901,2.27315,0.000423049,0.000423049,0.000423049
56,1770.84,2.06523,2.51503,1.83194,0.26083,0.15105,0.15573,0.04889,2.40027,3.03878,2.26819,0.000414049,0.000414049,0.000414049
57,1801.45,2.04485,2.46897,1.83276,0.16937,0.22112,0.14389,0.0453,2.43561,2.96463,2.30677,0.00040505,0.00040505,0.00040505
58,1832.27,2.01505,2.41369,1.81134,0.18959,0.20084,0.13783,0.03989,2.43073,3.03259,2.2886,0.000396051,0.000396051,0.000396051
59,1862.88,2.02502,2.42824,1.80847,0.17515,0.18761,0.14403,0.0461,2.36257,3.0015,2.26843,0.000387052,0.000387052,0.000387052
60,1893.55,2.00363,2.35832,1.7961,0.17217,0.22807,0.16815,0.04528,2.41864,2.99738,2.31653,0.000378053,0.000378053,0.000378053
61,1924.16,1.98221,2.36639,1.79057,0.21735,0.22164,0.16322,0.05354,2.39178,2.93266,2.29275,0.000369054,0.000369054,0.000369054
62,1954.79,1.98819,2.31731,1.77754,0.22098,0.22533,0.15391,0.04703,2.40346,3.07479,2.2598,0.000360055,0.000360055,0.000360055
63,1985.58,1.97549,2.29855,1.78065,0.13964,0.18375,0.12721,0.04271,2.4259,3.00087,2.33249,0.000351056,0.000351056,0.000351056
64,2016,1.96781,2.29924,1.77061,0.20995,0.18629,0.13205,0.04148,2.44686,2.99619,2.3161,0.000342057,0.000342057,0.000342057
65,2046.71,1.9558,2.30961,1.77394,0.18204,0.22155,0.15519,0.04799,2.42828,2.96956,2.30507,0.000333058,0.000333058,0.000333058
66,2076.8,1.95331,2.23599,1.74581,0.19776,0.19445,0.1609,0.0476,2.45335,2.98666,2.31655,0.000324058,0.000324058,0.000324058
67,2107.66,1.95586,2.245,1.76188,0.19306,0.20181,0.15781,0.0514,2.43958,3.08059,2.29765,0.000315059,0.000315059,0.000315059
68,2138.04,1.93603,2.21648,1.74961,0.19036,0.23724,0.14566,0.04303,2.44838,3.06191,2.31582,0.00030606,0.00030606,0.00030606
69,2168.62,1.93154,2.18144,1.74874,0.18296,0.2173,0.1532,0.04523,2.49963,3.03625,2.35942,0.000297061,0.000297061,0.000297061
70,2199.15,1.89037,2.12565,1.71961,0.1957,0.24773,0.14854,0.04834,2.44336,3.04387,2.31869,0.000288062,0.000288062,0.000288062
71,2229.66,1.89314,2.13705,1.72151,0.19088,0.24163,0.15916,0.05069,2.48344,2.94803,2.37862,0.000279063,0.000279063,0.000279063
72,2260.26,1.91302,2.16018,1.73795,0.20195,0.2246,0.16462,0.05061,2.45261,2.97237,2.3473,0.000270064,0.000270064,0.000270064
73,2290.76,1.90304,2.10196,1.718,0.1972,0.25059,0.17082,0.0507,2.4836,2.95139,2.37643,0.000261065,0.000261065,0.000261065
74,2321.37,1.88743,2.06031,1.70072,0.19544,0.22982,0.16886,0.05405,2.49116,2.93684,2.35457,0.000252066,0.000252066,0.000252066
75,2352.03,1.86195,2.08282,1.69231,0.19834,0.23796,0.16202,0.05271,2.46791,2.96371,2.38302,0.000243067,0.000243067,0.000243067
76,2382.68,1.85775,2.03777,1.68691,0.19088,0.22676,0.16832,0.05293,2.50886,3.00073,2.38702,0.000234068,0.000234068,0.000234068
77,2413.07,1.84562,2.03608,1.68446,0.23019,0.20118,0.15689,0.05169,2.48833,3.02286,2.41561,0.000225068,0.000225068,0.000225068
78,2443.46,1.82828,1.97767,1.65288,0.20385,0.23063,0.149,0.0455,2.54234,3.02229,2.45525,0.000216069,0.000216069,0.000216069
79,2474.1,1.84578,2.00806,1.68146,0.22241,0.22544,0.15383,0.04672,2.53258,3.06015,2.44419,0.00020707,0.00020707,0.00020707
80,2504.63,1.82561,1.97659,1.67838,0.20286,0.21172,0.15308,0.04661,2.51174,2.97355,2.45045,0.000198071,0.000198071,0.000198071
81,2534.45,1.81766,1.93022,1.65527,0.23749,0.21603,0.15684,0.04673,2.54405,3.07091,2.44085,0.000189072,0.000189072,0.000189072
82,2564.3,1.79647,1.93901,1.6463,0.21191,0.23275,0.15866,0.04673,2.53951,3.04627,2.4549,0.000180073,0.000180073,0.000180073
83,2594.98,1.8021,1.95521,1.65552,0.18248,0.27496,0.16057,0.05034,2.56983,2.99352,2.46379,0.000171074,0.000171074,0.000171074
84,2625.8,1.79862,1.91538,1.64815,0.2206,0.2318,0.1623,0.05086,2.57881,3.02151,2.48651,0.000162075,0.000162075,0.000162075
85,2656.5,1.7788,1.89965,1.64442,0.28442,0.1854,0.1871,0.06008,2.53415,3.00252,2.44462,0.000153076,0.000153076,0.000153076
86,2687.48,1.78385,1.86957,1.63015,0.20932,0.24409,0.16385,0.05416,2.55199,3.0669,2.47502,0.000144077,0.000144077,0.000144077
87,2720.75,1.77223,1.84121,1.62661,0.22777,0.21524,0.15956,0.05309,2.56849,3.04677,2.50587,0.000135077,0.000135077,0.000135077
88,2750.93,1.72715,1.8299,1.6056,0.21162,0.23238,0.16464,0.05271,2.60467,3.07912,2.49831,0.000126078,0.000126078,0.000126078
89,2782.89,1.76155,1.8382,1.62791,0.21204,0.23186,0.15646,0.05213,2.59096,3.12643,2.50922,0.000117079,0.000117079,0.000117079
90,2813.72,1.75108,1.82069,1.60673,0.19175,0.26747,0.16068,0.05326,2.59001,3.08132,2.50027,0.00010808,0.00010808,0.00010808
