epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8201,3.85512,7.04598,3.89482,0,0,0,0,3.42889,4.45854,3.50445,0.000301665,0.000301665,0.000301665
2,100.01,3.48179,5.4256,3.10374,7e-05,0.03704,5e-05,2e-05,3.26872,4.88765,3.5027,0.000598679,0.000598679,0.000598679
3,148.344,3.24485,4.97906,2.85671,0.00053,0.11458,0.0005,0.00015,2.88902,4.29441,2.72208,0.000889693,0.000889693,0.000889693
4,209.019,3.04706,4.76904,2.73946,0.00099,0.26161,0.00285,0.00127,2.85902,4.088,2.71504,0.000882003,0.000882003,0.000882003
5,277.636,3.01077,4.61264,2.67695,0.001,0.29342,0.00126,0.00033,2.91641,4.09245,2.65136,0.000873004,0.000873004,0.000873004
6,343.679,2.89253,4.45311,2.58561,0.00125,0.37001,0.00354,0.00095,2.72577,3.90115,2.58088,0.000864004,0.000864004,0.000864004
7,390.953,2.8429,4.40839,2.5401,0.00107,0.32884,0.00247,0.00066,2.76103,4.17998,2.6,0.000855005,0.000855005,0.000855005
8,436.702,2.78861,4.38096,2.49474,0.00132,0.46067,0.00551,0.00173,2.62467,3.90838,2.54385,0.000846006,0.000846006,0.000846006
9,484.246,2.78904,4.30343,2.44167,0.00132,0.37846,0.00431,0.00119,2.67602,3.94625,2.593,0.000837007,0.000837007,0.000837007
10,529.286,2.7203,4.26651,2.42738,0.00219,0.40391,0.00651,0.0019,2.62755,4.07341,2.5262,0.000828008,0.000828008,0.000828008
11,576.481,2.68124,4.19734,2.38326,0.33467,0.07292,0.00789,0.00225,2.55176,3.91581,2.43658,0.000819009,0.000819009,0.000819009
12,621.656,2.67894,4.16788,2.37497,0.0026,0.43003,0.01598,0.0037,2.65322,3.9577,2.48341,0.00081001,0.00081001,0.00081001
13,669.916,2.6705,4.12877,2.3388,0.68789,0.01817,0.01586,0.0043,2.56125,3.89372,2.3968,0.000801011,0.000801011,0.000801011
14,714.721,2.63091,4.06629,2.3352,0.00261,0.52055,0.01184,0.00301,2.59659,3.83145,2.40622,0.000792012,0.000792012,0.000792012
15,761.745,2.63423,3.99608,2.3232,0.34033,0.19628,0.01798,0.00467,2.55674,3.8031,2.49454,0.000783013,0.000783013,0.000783013
