epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.3622,3.8033,9.24783,3.62058,2e-05,0.00463,1e-05,0,3.26456,4.48667,3.3325,0.000302666,0.000302666,0.000302666
2,152.291,3.38334,6.23604,2.9461,2e-05,0.00463,1e-05,0,3.03633,4.49384,2.7551,0.000588535,0.000588535,0.000588535
3,213.792,3.24646,5.33894,2.65398,0.00028,0.03125,0.00031,9e-05,2.87269,4.52171,2.5916,0.000857262,0.000857262,0.000857262
4,273.227,3.01102,4.99418,2.51163,0.00063,0.08796,0.00049,0.00012,2.86064,4.47942,2.57523,0.000831865,0.000831865,0.000831865
5,332.095,2.96793,4.84788,2.48508,0.00152,0.05787,0.00111,0.00023,2.78152,4.50031,2.54752,0.000806153,0.000806153,0.000806153
6,391.91,2.89502,4.77994,2.45557,0.00381,0.23353,0.00389,0.00089,2.75221,4.09743,2.48301,0.000780441,0.000780441,0.000780441
7,456.089,2.83701,4.68211,2.42178,0.00272,0.14425,0.00229,0.00055,2.83071,4.57293,2.55405,0.00075473,0.00075473,0.00075473
8,520.788,2.84196,4.62605,2.35393,0.00126,0.22782,0.00165,0.00043,2.8034,4.22086,2.45259,0.000729018,0.000729018,0.000729018
9,584.877,2.79008,4.60106,2.31298,0.00186,0.34113,0.00362,0.00096,2.76288,4.00881,2.4011,0.000703306,0.000703306,0.000703306
10,648.649,2.71088,4.5141,2.28238,0.00247,0.27003,0.00322,0.00098,2.70689,4.284,2.40377,0.000677595,0.000677595,0.000677595
11,712.467,2.7194,4.42637,2.29685,0.00215,0.41066,0.00553,0.00153,2.65661,3.99315,2.35849,0.000651883,0.000651883,0.000651883
12,774.683,2.69206,4.36147,2.26455,0.00271,0.35937,0.01042,0.0033,2.68592,4.07727,2.46005,0.000626171,0.000626171,0.000626171
13,837.594,2.67965,4.33355,2.22926,0.00191,0.48118,0.00944,0.00206,2.67235,3.99809,2.30976,0.000600459,0.000600459,0.000600459
14,900.805,2.65124,4.26849,2.22685,0.0027,0.36984,0.00699,0.00194,2.64564,4.06809,2.36475,0.000574748,0.000574748,0.000574748
15,963.038,2.60788,4.20438,2.21256,0.00289,0.40527,0.00988,0.00346,2.64681,4.08498,2.40397,0.000549036,0.000549036,0.000549036
16,1025.34,2.57883,4.2205,2.19081,0.00263,0.47298,0.0209,0.00465,2.6014,3.9651,2.39301,0.000523324,0.000523324,0.000523324
17,1089.69,2.60226,4.18803,2.22267,0.00363,0.45686,0.02039,0.00575,2.61018,3.94784,2.35791,0.000497613,0.000497613,0.000497613
18,1153.98,2.5707,4.13719,2.19037,0.00339,0.51325,0.01443,0.00365,2.57287,3.89688,2.35487,0.000471901,0.000471901,0.000471901
19,1219.78,2.53902,4.07864,2.18427,0.00329,0.58595,0.02169,0.00575,2.55148,3.87583,2.34574,0.000446189,0.000446189,0.000446189
20,1284.45,2.52831,4.07804,2.14592,0.00342,0.67388,0.0252,0.00726,2.59781,3.74369,2.32369,0.000420477,0.000420477,0.000420477
21,1348.73,2.52186,3.97236,2.1376,0.00422,0.60164,0.02149,0.0057,2.52898,3.84582,2.28433,0.000394766,0.000394766,0.000394766
22,1414.41,2.50181,3.94167,2.13055,0.00324,0.64168,0.0363,0.01015,2.529,3.68614,2.25363,0.000369054,0.000369054,0.000369054
23,1477.61,2.49229,3.8739,2.10574,0.43646,0.03182,0.02664,0.00695,2.54821,3.75449,2.28762,0.000343342,0.000343342,0.000343342
24,1540.6,2.48005,3.91564,2.11943,0.00436,0.58158,0.02723,0.00762,2.51038,3.81327,2.25233,0.000317631,0.000317631,0.000317631
25,1604.02,2.48969,3.82026,2.12092,0.01786,0.27789,0.03045,0.00938,2.49517,3.67755,2.24654,0.000291919,0.000291919,0.000291919
26,1665.62,2.31599,3.71924,2.0737,0.02795,0.15651,0.0366,0.01041,2.44622,3.58602,2.27774,0.000266207,0.000266207,0.000266207
27,1730.54,2.31151,3.67839,2.12108,0.2346,0.05952,0.03775,0.00957,2.47919,3.62858,2.26853,0.000240495,0.000240495,0.000240495
28,1795.34,2.24763,3.59291,2.08049,0.26745,0.05608,0.03815,0.01014,2.42971,3.50062,2.29433,0.000214784,0.000214784,0.000214784
29,1860.75,2.25549,3.54559,2.06655,0.24126,0.06807,0.04509,0.01324,2.45888,3.52997,2.31999,0.000189072,0.000189072,0.000189072
30,1926.3,2.26369,3.53798,2.09612,0.16229,0.06064,0.03381,0.00973,2.48242,3.48657,2.35388,0.00016336,0.00016336,0.00016336
31,1991.44,2.21031,3.43905,2.05007,0.13604,0.07567,0.05631,0.01586,2.44822,3.48081,2.29547,0.000137649,0.000137649,0.000137649
32,2056.18,2.22763,3.36372,2.06521,0.07986,0.06213,0.04971,0.01464,2.4404,3.50202,2.28394,0.000111937,0.000111937,0.000111937
33,2119.77,2.2001,3.34405,2.05478,0.07987,0.08367,0.05087,0.01518,2.45695,3.43809,2.30108,8.62251e-05,8.62251e-05,8.62251e-05
34,2185.4,2.21172,3.29693,2.06441,0.10408,0.07931,0.06118,0.01894,2.46724,3.40728,2.29573,6.05134e-05,6.05134e-05,6.05134e-05
35,2249.52,2.16834,3.26525,2.03295,0.09971,0.08568,0.05727,0.01766,2.45622,3.44408,2.2989,3.48017e-05,3.48017e-05,3.48017e-05
