epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3603,4.75894,8.34653,4.12022,0,0,0,0,4.67287,5.947,4.10865,0.000408654,0.000408654,0.000408654
2,24.8333,4.23264,6.08672,3.63369,6e-05,0.00476,3e-05,1e-05,4.36354,4.6753,3.74893,0.00081715,0.00081715,0.00081715
3,36.7525,3.62521,5.29968,3.15826,0.0009,0.10952,0.00093,0.0002,3.30017,3.78351,2.9474,0.0012174,0.0012174,0.0012174
4,48.862,3.40494,4.83821,2.84343,0.00085,0.13225,0.00083,0.00018,3.35435,3.74208,2.73109,0.00121287,0.00121287,0.00121287
5,60.2958,3.33608,4.53147,2.69098,0.00083,0.17273,0.00101,0.00038,3.39749,3.71737,2.58116,0.0012005,0.0012005,0.0012005
6,72.4353,3.27428,4.36685,2.60365,0.00032,0.1,0.00046,0.00011,3.74028,4.07265,2.80188,0.00118812,0.00118812,0.00118812
7,84.2873,3.1521,4.18947,2.52652,0.00108,0.24805,0.0022,0.0004,3.27726,4.23812,2.42991,0.00117575,0.00117575,0.00117575
8,95.4965,3.14733,4.05087,2.39622,0.001,0.16905,0.00203,0.00049,3.3391,3.95179,2.45615,0.00116337,0.00116337,0.00116337
9,107.19,3.06034,3.94848,2.3768,0.00236,0.31818,0.00405,0.00101,3.19768,3.78326,2.48752,0.001151,0.001151,0.001151
10,118.849,3.00568,3.77681,2.29977,0.00284,0.26461,0.0057,0.0017,3.29336,4.0571,2.57508,0.00113863,0.00113863,0.00113863
11,130.058,2.95696,3.7544,2.27869,0.00956,0.00952,0.00391,0.00101,3.124,4.01301,2.40347,0.00112625,0.00112625,0.00112625
12,141.702,2.85968,3.54205,2.17191,0.07825,0.03729,0.0335,0.00894,2.95069,3.54088,2.27637,0.00111388,0.00111388,0.00111388
13,152.966,2.83539,3.45323,2.14888,0.08939,0.03919,0.03007,0.0098,2.96364,3.45343,2.2267,0.0011015,0.0011015,0.0011015
14,164.512,2.83029,3.40031,2.18456,0.27738,0.01429,0.00891,0.00216,3.06936,3.66489,2.457,0.00108913,0.00108913,0.00108913
15,176.061,2.79136,3.26551,2.12455,0.05938,0.03571,0.02048,0.00728,2.99648,3.43592,2.33254,0.00107675,0.00107675,0.00107675
16,187.075,2.67759,3.18743,2.05969,0.35028,0.03412,0.0315,0.00868,2.89619,3.50987,2.27981,0.00106437,0.00106437,0.00106437
17,198.718,2.69022,3.08854,2.06013,0.29393,0.02857,0.01564,0.00468,2.94925,3.43346,2.29118,0.001052,0.001052,0.001052
18,210.85,2.62712,3.00754,2.04567,0.07923,0.06429,0.02869,0.00961,2.92874,3.37871,2.32474,0.00103962,0.00103962,0.00103962
19,222.341,2.60465,2.89739,1.99833,0.56956,0.04286,0.03168,0.01083,2.76536,3.25274,2.10936,0.00102725,0.00102725,0.00102725
20,234.104,2.57716,2.85938,2.00183,0.08089,0.05238,0.02991,0.00893,2.98567,3.31809,2.31014,0.00101488,0.00101488,0.00101488
